airpol,unit,airemsect,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
GHG,MIO_T,CRF1A3,LT	7.70458 	7.83269 	5.3077 	4.17087 	3.40292 	3.97639 	4.01003 	4.34147 	4.46434 	3.91125 	3.46033 	3.65352 	3.77896 	3.82964 	4.16943 	4.43613 	4.69218 	5.44992 	5.42614 	4.4703 	4.59368 	4.56415 	4.58589 	4.58412 	5.06453 
GHG,MIO_T,CRF1A3,LU	2.68826 	3.19122 	3.48388 	3.52793 	3.58873 	3.40803 	3.51081 	3.71411 	3.88315 	4.18888 	4.83774 	5.05381 	5.19659 	5.63186 	6.58522 	6.97824 	6.67526 	6.40918 	6.53592 	6.04105 	6.37217 	6.78889 	6.51347 	6.37175 	6.09672 
GHG,MIO_T,CRF1A3,LV	3.03067 	2.84034 	2.53253 	2.32415 	2.20392 	2.09974 	2.06502 	2.05683 	2.02933 	1.99334 	2.20618 	2.60375 	2.68301 	2.83128 	2.97213 	3.09993 	3.41125 	3.85321 	3.63703 	3.18648 	3.25359 	2.89528 	2.79379 	2.83056 	2.95192 
GHG,MIO_T,CRF1A3,MT	0.34196 	0.36399 	0.39505 	0.41409 	0.43482 	0.44473 	0.47716 	0.48776 	0.49585 	0.5068 	0.51976 	0.5422 	0.49986 	0.51984 	0.50304 	0.55777 	0.56564 	0.58838 	0.60288 	0.57567 	0.62324 	0.63795 	0.5832 	0.58583 	0.64944 
GHG,MIO_T,CRF1A3,NL	27.66921 	28.10929 	29.60738 	30.42552 	29.87555 	30.31857 	31.58845 	31.56927 	32.2838 	32.81007 	32.78646 	33.06785 	33.82979 	34.33382 	34.86234 	35.08613 	36.01688 	35.57244 	35.87246 	34.43972 	34.99428 	35.16773 	33.54587 	32.75134 	30.44727 
GHG,MIO_T,CRF1A3,PL	20.59365 	21.65954 	22.11281 	21.64964 	22.75644 	23.52054 	26.00406 	27.47168 	28.90267 	31.50028 	27.69243 	27.46481 	26.50115 	28.89543 	32.68174 	35.08129 	38.85128 	42.90903 	44.84812 	45.54574 	47.99492 	48.61341 	46.73923 	43.95741 	44.19589 
GHG,MIO_T,CRF1A3,PT	10.0198 	10.60387 	11.48467 	11.97367 	12.64261 	13.33724 	14.04697 	14.82663 	16.58937 	17.42689 	18.96887 	19.27588 	19.75992 	19.64984 	19.61897 	19.40121 	19.46199 	19.079 	18.80964 	18.7514 	18.50477 	17.18662 	15.82946 	15.46495 	15.71154 
GHG,MIO_T,CRF1A3,RO	12.43859 	10.63229 	10.90361 	8.74474 	9.29906 	8.55311 	11.97162 	12.24286 	11.54737 	9.57173 	9.91257 	11.94023 	12.29825 	12.95214 	13.58537 	12.57914 	13.05761 	13.72049 	15.39684 	15.17671 	14.22986 	14.37026 	15.24874 	15.0883 	15.61878 
GHG,MIO_T,CRF1A3,SE	19.437 	19.15977 	20.04791 	19.13979 	19.66521 	19.73858 	19.41637 	19.54073 	19.69449 	20.03035 	19.80706 	19.94924 	20.37459 	20.62113 	20.93017 	21.08193 	20.92795 	21.15797 	20.63149 	20.22492 	20.38386 	19.95873 	18.72361 	18.15699 	17.92614 
GHG,MIO_T,CRF1A3,SI	2.73324 	2.58012 	2.65524 	3.09828 	3.44858 	3.82324 	4.45909 	4.52636 	3.90094 	3.70847 	3.85739 	3.97978 	3.86472 	4.00377 	4.1535 	4.42743 	4.64708 	5.22824 	6.1569 	5.32519 	5.26482 	5.69817 	5.77246 	5.45912 	5.38429 
GHG,MIO_T,CRF1A3,SK	6.83813 	5.80499 	5.23191 	4.96778 	4.76933 	5.50598 	5.73338 	5.81772 	6.11764 	5.96821 	5.65602 	6.08233 	6.01592 	6.00803 	6.72402 	7.59255 	6.76112 	7.43333 	7.81495 	6.8954 	7.33083 	7.17971 	6.86063 	6.73317 	6.49294 
GHG,MIO_T,CRF1A3,UK	115.8507 	115.10935 	116.58332 	117.75713 	118.31879 	117.57015 	121.90845 	123.36293 	122.76961 	123.86772 	123.0837 	122.97038 	125.34093 	125.01268 	126.25018 	127.35894 	127.18132 	128.22088 	122.91043 	118.33342 	116.79813 	115.25377 	114.91846 	114.04419 	115.53592 
